ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	1	1	2	0.000000	2888.000000	2697.000000	0.000000	0.000000	0	1438	0
2	1	2	3	0.000000	2916.000000	2729.000000	0.000000	0.000000	0	1458	0
3	1	1	2	0.000000	2919.000000	2742.000000	0.000000	0.000000	0	1458	0
4	1	3	6	0.000000	3113.000000	2972.000000	0.000000	0.000000	0	1573	0
5	34	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6	19	1	2	0.000000	1.789474	1.789474	0.000000	0.000000	0	2	0
7	10	1	3	0.000000	809.900000	772.800000	0.000000	0.000000	0	438	0
8	4	2	2	0.000000	803.000000	777.000000	0.000000	0.000000	0	416	0
9	6	2	1	0.000000	874.666667	845.000000	0.000000	0.000000	0	468	0
10	1	2	2	0.000000	883.000000	856.000000	0.000000	0.000000	0	432	0
11	1	3	1	0.000000	885.000000	857.000000	0.000000	0.000000	0	433	0
12	1	2	1	0.000000	941.000000	914.000000	0.000000	0.000000	0	463	0
13	1	1	2	0.000000	947.000000	920.000000	0.000000	0.000000	0	463	0
14	1	3	3	0.000000	958.000000	931.000000	0.000000	0.000000	0	469	0
15	1	2	1	0.000000	1009.000000	982.000000	0.000000	0.000000	0	492	0
16	1	2	2	0.000000	1027.000000	1002.000000	0.000000	0.000000	0	502	0
17	1	3	1	0.000000	1093.000000	1069.000000	0.000000	0.000000	0	538	0
18	2	2	1	0.000000	1056.000000	1034.500000	0.000000	0.000000	0	527	0
19	21	1	1	0.000000	1.571429	1.523810	0.000000	0.000000	0	1	0
20	1	1	3	0.000000	679.000000	657.000000	0.000000	0.000000	0	333	0
21	1	2	2	0.000000	655.000000	634.000000	0.000000	0.000000	0	323	0
22	1	2	3	0.000000	705.000000	685.000000	0.000000	0.000000	0	352	0
23	1	1	3	0.000000	701.000000	683.000000	0.000000	0.000000	0	348	0
24	2	1	2	0.000000	722.000000	703.000000	0.000000	0.000000	0	359	0
25	3	1	3	0.000000	720.000000	700.000000	0.000000	0.000000	0	359	0
26	1	1	2	0.000000	709.000000	689.000000	0.000000	0.000000	0	349	0
27	1	1	3	0.000000	713.000000	693.000000	0.000000	0.000000	0	350	0
28	5	2	2	0.000000	709.800000	690.400000	0.000000	0.000000	0	387	0
29	5	1	3	0.000000	300.400000	292.600000	0.000000	0.000000	0	186	0
30	14	1	2	0.000000	289.428571	279.785714	0.000000	0.000000	0	180	0
31	6	2	2	0.000000	292.666667	278.166667	0.000000	0.000000	0	178	0
32	8	2	1	0.000000	335.000000	317.125000	0.000000	0.000000	0	181	0
33	2	2	1	0.000000	359.000000	344.000000	0.000000	0.000000	0	171	0
34	3	2	1	0.000000	397.333333	382.000000	0.000000	0.000000	0	207	0
35	9	1	1	0.000000	473.000000	413.000000	0.000000	0.000000	0	293	0
36	4	2	2	0.000000	546.500000	522.250000	0.000000	0.000000	0	259	0
37	3	1	1	0.000000	576.000000	545.000000	0.000000	0.000000	0	273	0
38	2	1	2	0.000000	616.500000	585.500000	0.000000	0.000000	0	302	0
39	2	1	2	0.000000	703.500000	671.000000	0.000000	0.000000	0	327	0
40	1	8	3	0.000000	8820.000000	8270.000000	0.000000	0.000000	0	4437	0
41	1	5	4	0.000000	8658.000000	8117.000000	0.000000	0.000000	0	4355	0
42	1	6	5	0.000000	8658.000000	8139.000000	0.000000	0.000000	0	4355	0
43	1	4	9	0.000000	8675.000000	8153.000000	0.000000	0.000000	0	4367	0
44	1	7	9	0.000000	8046.000000	7540.000000	0.000000	0.000000	0	4032	0
45	1	7	4	0.000000	8059.000000	7587.000000	0.000000	0.000000	0	4043	0
46	1	9	6	0.000000	8049.000000	7532.000000	0.000000	0.000000	0	4036	0
47	1	6	6	0.000000	8100.000000	7596.000000	0.000000	0.000000	0	4065	0
48	1	3	8	0.000000	8320.000000	7805.000000	0.000000	0.000000	0	4186	0
49	1	2	6	0.000000	7832.000000	7341.000000	0.000000	0.000000	0	3936	0
