ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	4	2	1	0.000000	766.750000	728.750000	0.000000	0.000000	0	393	0
2	1	2	1	0.000000	775.000000	740.000000	0.000000	0.000000	0	373	0
3	2	2	1	0.000000	774.000000	742.000000	0.000000	0.000000	0	375	0
4	2	2	1	0.000000	766.500000	746.500000	0.000000	0.000000	0	380	0
5	1	2	1	0.000000	768.000000	750.000000	0.000000	0.000000	0	379	0
6	2	2	1	0.000000	736.500000	721.500000	0.000000	0.000000	0	365	0
7	1	4	1	0.000000	735.000000	725.000000	0.000000	0.000000	0	368	0
8	1	2	1	0.000000	749.000000	740.000000	0.000000	0.000000	0	375	0
9	2	2	1	0.000000	792.500000	786.500000	0.000000	0.000000	0	408	0
10	3	2	1	0.000000	782.333333	777.000000	0.000000	0.000000	0	393	0
11	2	3	2	0.000000	782.500000	779.500000	0.000000	0.000000	0	395	0
12	1	2	1	0.000000	816.000000	814.000000	0.000000	0.000000	0	413	0
13	1	1	2	0.000000	819.000000	817.000000	0.000000	0.000000	0	412	0
14	2	1	2	0.000000	842.500000	840.500000	0.000000	0.000000	0	429	0
15	1	1	2	0.000000	902.000000	897.000000	0.000000	0.000000	0	453	0
16	1	1	2	0.000000	907.000000	901.000000	0.000000	0.000000	0	454	0
17	8	1	2	0.000000	640.750000	609.125000	0.000000	0.000000	0	350	0
18	3	1	1	0.000000	619.333333	597.333333	0.000000	0.000000	0	310	0
19	7	2	2	0.000000	598.857143	586.714286	0.000000	0.000000	0	335	0
20	3	1	2	0.000000	476.333333	466.666667	0.000000	0.000000	0	276	0
21	10	2	2	0.000000	263.300000	256.300000	0.000000	0.000000	0	170	0
22	9	1	1	0.000000	263.333333	253.777778	0.000000	0.000000	0	144	0
23	6	2	2	0.000000	263.000000	251.833333	0.000000	0.000000	0	164	0
24	6	1	1	0.000000	294.833333	281.500000	0.000000	0.000000	0	167	0
25	4	1	1	0.000000	382.250000	367.500000	0.000000	0.000000	0	248	0
26	7	1	2	0.000000	495.714286	470.428571	0.000000	0.000000	0	257	0
27	2	1	2	0.000000	555.000000	527.500000	0.000000	0.000000	0	286	0
28	8	1	2	0.000000	625.500000	445.625000	0.000000	0.000000	0	332	0
29	1	6	1	0.000000	6170.000000	5827.000000	0.000000	0.000000	0	3116	0
30	1	5	4	0.000000	6155.000000	5797.000000	0.000000	0.000000	0	3110	0
31	1	4	5	0.000000	6158.000000	5805.000000	0.000000	0.000000	0	3112	0
